node,communities
0x6b9f031d718dded0d681c20cb754f97b3bb81b78,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xae6ad38e2293c3e2bb5936edcbf005b135fb168a,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x1d8224b798e29f98379ab429aa716cdfe320c784,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xbf2179859fc6d5bee9bf9158632dc51678a4100e,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x53f09e87846c6124d2195882e5ffc5355e025539,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xbbf99342e803340da3c56b9710bcdec58b477010,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x4b58a6294669505925fc4190d869ef62804f3939,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xe8fdbe8b11d1e0c75f6d6bde79342fe59149995f,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0x92524408bd5263a5ab25add57908eeb4f4ba9a16,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
0xf8f60b1d0aed34269210f373b5cf4c3aaf5043c3,"['cluster_2_thresh_0.30', 'cluster_3_thresh_0.10', 'cluster_1_thresh_0.20', 'cluster_3_thresh_0.20', 'cluster_1_thresh_1.00', 'cluster_1_thresh_0.30', 'cluster_2_thresh_1.00', 'cluster_2_thresh_0.10', 'cluster_1_thresh_0.70', 'cluster_2_thresh_0.60', 'cluster_1_thresh_0.40', 'cluster_2_thresh_0.90', 'cluster_2_thresh_0.80', 'cluster_1_thresh_0.60', 'cluster_1_thresh_0.50', 'cluster_4_thresh_0.10', 'cluster_2_thresh_0.40', 'cluster_2_thresh_0.20', 'cluster_1_thresh_0.10', 'cluster_2_thresh_0.70', 'cluster_1_thresh_0.90', 'cluster_1_thresh_0.80', 'cluster_2_thresh_0.50']"
